Rank,Backbone,Fusion,Architecture,Mean MAE,Std MAE,Params (M)
1,vit_b_16,Feature,Transformer,0.6595581957162956,0.02741691771101208,87.34
2,convnext_t,Late,Modernized CNN,0.662437877084455,0.03143994851424154,55.64
3,convnext_t,Feature,Modernized CNN,0.66508684377385,0.044124804191725056,28.59
4,swin_t,Late,Transformer,0.667622233621585,0.025398666288185944,55.04
5,vit_b_16,Late,Transformer,0.6724121788373361,0.010968313850562308,173.13
6,convnext_b,Feature,Modernized CNN,0.6744079749680992,0.074993480526616,89.05
7,swin_b,Feature,Transformer,0.6796384212425631,0.040364591148663205,88.3
8,convnext_b,Late,Modernized CNN,0.69236623062792,0.06999709335664497,176.04
9,swin_t,Feature,Transformer,0.6928964403067899,0.02257883473043222,28.29
10,convnext_t,TOP View,Modernized CNN,0.7103545481068457,0.04877531602534946,27.82
11,convnext_b,TOP View,Modernized CNN,0.7185347709390851,0.019100243869066284,88.02
12,vit_b_16,TOP View,Transformer,0.7336748731441988,0.02374954477201331,86.57
13,swin_t,TOP View,Transformer,0.7418481052940727,0.03839082888228461,27.52
14,swin_b,TOP View,Transformer,0.7476421146948113,0.027816521005850907,87.27
15,resnet18,Late,Traditional CNN,0.7552538721734642,0.02864150640409252,22.36
16,swin_b,Late,Transformer,0.7758319655544738,0.0963232562752832,174.54
17,efficientnet_b0,Late,Traditional CNN,0.7818885625809685,0.042136336547179035,8.02
18,resnet18,Feature,Traditional CNN,0.8103063113541684,0.027475134708014576,11.69
19,efficientnet_b0,Feature,Traditional CNN,0.844515964643568,0.0564118407185152,4.52
20,resnet50,Late,Traditional CNN,0.8479275797676836,0.02388671986791959,47.03
21,resnet50,TOP View,Traditional CNN,0.8941063465725662,0.036672024983851415,23.51
22,resnet18,TOP View,Traditional CNN,0.8952319252694774,0.02549671006136337,11.18
23,resnet50,Feature,Traditional CNN,0.9003257817692227,0.0746709112487044,24.54
24,resnet101,Feature,Traditional CNN,0.9216892455632871,0.05167710322072283,43.53
25,resnet101,TOP View,Traditional CNN,0.923659925786858,0.026851294858744514,42.5
26,resnet101,Late,Traditional CNN,0.9352474250854591,0.07414065419308301,85.01
27,efficientnet_b0,TOP View,Traditional CNN,0.966232489189531,0.02488063796109141,4.01
