Backbone,Fusion,Mean MAE,Std MAE,Min MAE,Max MAE
efficientnet_b0,late,0.5413060984760523,0.04835264067709615,0.49599406868219376,0.6083139088004827
efficientnet_b0,feature,0.467977366530233,0.01995435111479679,0.44857839743296307,0.4954257719218731
resnet18,late,0.3682929466416438,0.005435206606255305,0.3608900277564923,0.37378599762916564
resnet18,feature,0.2878156751766801,0.02165021396625327,0.2689261484146118,0.3181287633876006
resnet50,late,0.3970506279418866,0.08635548694592346,0.2784730851650238,0.481646116822958
resnet50,feature,0.42536760457687905,0.020878640629809837,0.4103021138906479,0.4548923869927724
resnet101,late,0.36512941217256917,0.03254992662390477,0.3226718759785096,0.401761582493782
resnet101,feature,0.3681485114991665,0.060323697541083236,0.29714061200618747,0.44460159291823703
vit_b_16,late,0.29387196540004673,0.06563243117226919,0.22874359289805093,0.3837087048838536
vit_b_16,feature,0.3618316216518482,0.01957390186656959,0.34589498055477935,0.3894015761713187
swin_t,late,0.2800160142737958,0.0042367344171888545,0.27627826637278,0.2859403546899557
swin_t,feature,0.3110582744247383,0.022225331421406407,0.2838286776095629,0.3382693895449241
swin_b,late,0.3439772541614043,0.07206914733806331,0.2573690839732687,0.43381317394475144
swin_b,feature,0.31894493660993045,0.042937790598886826,0.2670778486256798,0.37222504675388335
convnext_t,late,0.1969281779188249,0.006275656166106823,0.19132957905530928,0.2056913316870729
convnext_t,feature,0.1718615558743477,0.015613864130980152,0.15823166579008102,0.1937217228114605
convnext_b,late,0.22612775404006244,0.007905741371683029,0.2171177512407303,0.23636564364035925
convnext_b,feature,0.2700416040834453,0.05776513498864412,0.1887308768928051,0.3175263500213623
