Backbone,Fusion,Mean MAE,Std MAE,Params (M)
convnext_t,Feature,0.1718615558743477,0.015613864130980152,28.59
convnext_t,Late,0.1969281779188249,0.006275656166106823,55.64
convnext_b,Late,0.22612775404006244,0.007905741371683029,176.04
convnext_t,Baseline,0.25552037982063164,0.04743700105171155,27.82
convnext_b,Feature,0.2700416040834453,0.05776513498864412,89.05
swin_t,Late,0.2800160142737958,0.0042367344171888545,55.04
vit_b_16,Baseline,0.2802836339010133,0.03937875529872956,86.57
resnet18,Feature,0.2878156751766801,0.02165021396625327,11.69
vit_b_16,Late,0.29387196540004673,0.06563243117226919,173.13
convnext_b,Baseline,0.29530882710384,0.006933822730437476,88.02
swin_t,Feature,0.3110582744247383,0.022225331421406407,28.29
swin_b,Feature,0.31894493660993045,0.042937790598886826,88.3
swin_t,Baseline,0.3273463286873367,0.02117257414101761,27.52
swin_b,Late,0.3439772541614043,0.07206914733806331,174.54
resnet18,Baseline,0.3537383830961254,0.010655172610668557,11.18
vit_b_16,Feature,0.3618316216518482,0.01957390186656959,87.34
resnet101,Late,0.36512941217256917,0.03254992662390477,85.01
swin_b,Baseline,0.3676610085782077,0.04794302649701312,87.27
resnet101,Feature,0.3681485114991665,0.060323697541083236,43.53
resnet18,Late,0.3682929466416438,0.005435206606255305,22.36
resnet50,Late,0.3970506279418866,0.08635548694592346,47.03
resnet50,Baseline,0.406117354300287,0.04472530549834002,23.51
resnet101,Baseline,0.4118177965366178,0.014108569409575826,42.5
resnet50,Feature,0.42536760457687905,0.020878640629809837,24.54
efficientnet_b0,Baseline,0.4655572751743926,0.010181614151266725,4.01
efficientnet_b0,Feature,0.467977366530233,0.01995435111479679,4.52
efficientnet_b0,Late,0.5413060984760523,0.04835264067709615,8.02
